status	subject	predicate	object
TP	Otho	isHabitantOf	Grit_Gate
TP	Otho	isSearchTargetIn	A_Canticle_for_Barathrum
TP	Otho	memberOf	Barathrumites
TP	Pax_Qlanq	hasRace	Fungi
TP	Pax_Qlanq_I_Presume?	rewardsWith	quantum_mote
TP	Phinae_Hoshaiah_High_Priest_of_the_Rock	hasRace	Mutated_Human
TP	Phinae_Hoshaiah_High_Priest_of_the_Rock	hasRole	Fighter_Boss
TP	Phinae_Hoshaiah_High_Priest_of_the_Rock	isHabitantOf	Temple_of_the_Rock
TP	Phinae_Hoshaiah_High_Priest_of_the_Rock	likedBy	Mechanimists
TP	Phinae_Hoshaiah_High_Priest_of_the_Rock	memberOf	Mechanimists
TP	Putus_Templar	dislikes	Kun
TP	Reclamation	involvesFightWith	Girsh
TP	Reclamation	requiresCompleting	The_Golem
TP	Rust_Wells	hostsQuest	Weirdwire_Conduit_Eureka!
TP	Sparafucile	hasRace	Urshiib
TP	Sparafucile	isHabitantOf	Grit_Gate
TP	Sparafucile	memberOf	Barathrumites
TP	Sparafucile_s_Carbine	isRewardFor	More_Than_a_Willing_Spirit
TP	Starformed_Ehalcodon	memberOf	Girsh
TP	Temple_of_the_Rock	locatedInPlace	Bethesda_Susa
TP	Tomb_of_the_Eaters	involvesFinding	Herodododicus
TP	We_Are_Starfreight	isGivenBy	Barathrum_the_Old
TP	We_Are_Starfreight	requiresCompleting	Reclamation
TP	We_Are_Starfreight	takesPlaceIn	Omonporch
TP	We_Are_Starfreight	takesPlaceIn	Starfarers_Quay
TP	Weirdwire_Conduit_Eureka!	rewardsWith	Joppa_Recoiler
TP	alchemist	hasRole	Fighter_NonBoss
TP	alchemist	hasRole	Trader_high
TP	alchemist	isHabitantOf	Bethesda_Susa
TP	quantum_mote	isRewardFor	Pax_Qlanq_I_Presume?
FP	Argyve	likedBy	Mechanimists
FP	Argyve	memberOf	Mechanimists
FP	Baetyl	isSearchTargetIn	More_Than_a_Willing_Spirit
FP	Barathrum_the_Old	isHabitantOf	Omonporch
FP	Barathrum_the_Old	isHabitantOf	Starfarers_Quay
FP	Barathrumites	foughtIn	More_Than_a_Willing_Spirit
FP	Barathrumites	foughtIn	The_Earl_of_Omonporch
FP	Barathrumites	hasMember	Argyve
FP	Barathrumites	hates	Barathrumites
FP	Girsh	hates	Putus_Templar
FP	Golem	likedBy	Mechanimists
FP	Golem	memberOf	Mechanimists
FP	Golgotha	hostsQuest	More_Than_a_Willing_Spirit
FP	Grit_Gate	hasInhabitant	Argyve
FP	Grit_Gate	hasInhabitant	Otho
FP	Grit_Gate	hostsQuest	A_Call_to_Arms
FP	Grit_Gate	hostsQuest	Decoding_the_Signal
FP	Grit_Gate	hostsQuest	The_Earl_of_Omonporch
FP	Grit_Gate	hostsQuest	Weirdwire_Conduit_Eureka!
FP	Omonporch	hasInhabitant	Reseph
FP	Omonporch	hostsQuest	Reclamation
FP	Otho	isSearchTargetIn	A_Call_to_Arms
FP	Otho	isSearchTargetIn	Decoding_the_Signal
FP	Otho	isSearchTargetIn	The_Earl_of_Omonporch
FP	Otho	likedBy	Mechanimists
FP	Pax_Qlanq	giveQuest	Pax_Qlanq_I_Presume?
FP	Pax_Qlanq_I_Presume?	involvesFinding	Barathrum_the_Old
FP	Phinae_Hoshaiah_High_Priest_of_the_Rock	giveQuest	Decoding_the_Signal
FP	Putus_Templar	hasMember	Otho
FP	Rainbow_Wood	hasInhabitant	Pax_Qlanq
FP	Rainbow_Wood	hostsQuest	Pax_Qlanq_I_Presume?
FP	Reclamation	takesPlaceIn	Grit_Gate
FP	Reseph	giveQuest	Reclamation
FP	Reseph	isSearchTargetIn	Reclamation
FP	Starfarers_Quay	hostsQuest	Reclamation
FP	Temple_of_the_Rock	hostsQuest	Decoding_the_Signal
FP	Temple_of_the_Rock	hostsQuest	More_Than_a_Willing_Spirit
FP	The_Earl_of_Omonporch	isGivenBy	Otho
FP	We_Are_Starfreight	isGivenBy	Reseph
FP	We_Are_Starfreight	takesPlaceIn	Grit_Gate
FP	Weirdwire_Conduit_Eureka!	involvesFinding	Otho
FP	Weirdwire_Conduit_Eureka!	isGivenBy	Argyve
FN	Kun	spawnsIn	Joppa
FN	More_Than_a_Willing_Spirit	takesPlaceIn	Golgotha
FN	Pax_Qlanq	isHabitantOf	Rainbow_Wood
FN	Pax_Qlanq_I_Presume?	involvesFinding	Pax_Qlanq
FN	Pax_Qlanq_I_Presume?	isGivenBy	Barathrum_the_Old
FN	Pax_Qlanq_I_Presume?	takesPlaceIn	Rainbow_Wood
FN	We_Are_Starfreight	involvesFinding	Reseph
