status	subject	predicate	object
TP	Reclamation	requiresCompleting	The_Golem
TP	Rust_Wells	hostsQuest	Weirdwire_Conduit_Eureka!
TP	Sparafucile	hasRace	Urshiib
TP	Sparafucile	isHabitantOf	Grit_Gate
TP	Sparafucile	memberOf	Barathrumites
TP	Sparafucile_s_Carbine	isRewardFor	More_Than_a_Willing_Spirit
TP	Starformed_Ehalcodon	memberOf	Girsh
TP	Temple_of_the_Rock	locatedInPlace	Bethesda_Susa
TP	We_Are_Starfreight	requiresCompleting	Reclamation
TP	We_Are_Starfreight	takesPlaceIn	Omonporch
TP	We_Are_Starfreight	takesPlaceIn	Starfarers_Quay
TP	Weirdwire_Conduit_Eureka!	rewardsWith	Joppa_Recoiler
TP	alchemist	hasRole	Fighter_NonBoss
TP	alchemist	hasRole	Trader_high
TP	alchemist	isHabitantOf	Bethesda_Susa
TP	quantum_mote	isRewardFor	Pax_Qlanq_I_Presume?
FP	A_Call_to_Arms	involvesFightWith	Barathrumites
FP	A_Call_to_Arms	requiresCompleting	A_Canticle_for_Barathrum
FP	A_Canticle_for_Barathrum	involvesFightWith	Barathrumites
FP	A_Canticle_for_Barathrum	involvesFinding	Argyve
FP	A_Canticle_for_Barathrum	isGivenBy	Otho
FP	A_Canticle_for_Barathrum	requiresCompleting	A_Call_to_Arms
FP	A_Canticle_for_Barathrum	requiresCompleting	Decoding_the_Signal
FP	A_Canticle_for_Barathrum	requiresCompleting	More_Than_a_Willing_Spirit
FP	A_Canticle_for_Barathrum	requiresCompleting	The_Earl_of_Omonporch
FP	Argyve	isHabitantOf	Grit_Gate
FP	Argyve	memberOf	Mechanimists
FP	Baetyl	isHabitantOf	Temple_of_the_Rock
FP	Barathrum_the_Old	giveQuest	Pax_Qlanq_I_Presume?
FP	Barathrum_the_Old	hasRace	Fungi
FP	Barathrum_the_Old	hasRace	Robot
FP	Barathrum_the_Old	isHabitantOf	Omonporch
FP	Barathrum_the_Old	isHabitantOf	Rainbow_Wood
FP	Barathrum_the_Old	isHabitantOf	Starfarers_Quay
FP	Barathrumites	dislikes	Argyve
FP	Barathrumites	foughtIn	A_Call_to_Arms
FP	Barathrumites	foughtIn	A_Canticle_for_Barathrum
FP	Barathrumites	foughtIn	Decoding_the_Signal
FP	Barathrumites	foughtIn	More_Than_a_Willing_Spirit
FP	Barathrumites	foughtIn	The_Earl_of_Omonporch
FP	Barathrumites	hasMember	Argyve
FP	Barathrumites	hasMember	Otho
FP	Barathrumites	hates	Barathrumites
FP	Barathrumites	hates	Girsh
FP	Barathrumites	hates	Putus_Templar
FP	Decoding_the_Signal	involvesFightWith	Barathrumites
FP	Decoding_the_Signal	involvesFightWith	Mechanimists
FP	Decoding_the_Signal	requiresCompleting	A_Canticle_for_Barathrum
FP	Decoding_the_Signal	takesPlaceIn	Grit_Gate
FP	Fungi	hasIndividual	Pax_Qlanq
FP	Girsh	hates	Barathrumites
FP	Girsh	hates	Putus_Templar
FP	Golem	memberOf	Mechanimists
FP	Golgotha	hostsQuest	More_Than_a_Willing_Spirit
FP	Grit_Gate	hasInhabitant	Argyve
FP	Grit_Gate	hasInhabitant	Otho
FP	Grit_Gate	hostsQuest	A_Call_to_Arms
FP	Grit_Gate	hostsQuest	A_Canticle_for_Barathrum
FP	Grit_Gate	hostsQuest	Decoding_the_Signal
FP	Grit_Gate	hostsQuest	Reclamation
FP	Grit_Gate	hostsQuest	The_Earl_of_Omonporch
FP	Grit_Gate	hostsQuest	We_Are_Starfreight
FP	Grit_Gate	hostsQuest	Weirdwire_Conduit_Eureka!
FP	Kun	dislikedBy	Barathrumites
FP	Kun	likedBy	Girsh
FP	Kun	likedBy	Putus_Templar
FP	Mechanimists	dislikes	Argyve
FP	Mechanimists	hasMember	Argyve
FP	Mechanimists	hasMember	Golem
FP	Mechanimists	hasMember	Otho
FP	Mechanimists	hates	Girsh
FP	Mechanimists	hates	Mechanimists
FP	More_Than_a_Willing_Spirit	requiresCompleting	A_Canticle_for_Barathrum
FP	More_Than_a_Willing_Spirit	rewardsWith	Scrapped_Waydroid
FP	More_Than_a_Willing_Spirit	takesPlaceIn	Temple_of_the_Rock
FP	Omonporch	hasInhabitant	Reseph
FP	Omonporch	hostsQuest	Reclamation
FP	Otho	giveQuest	A_Canticle_for_Barathrum
FP	Otho	giveQuest	Weirdwire_Conduit_Eureka!
FP	Otho	memberOf	Mechanimists
FP	Pax_Qlanq	giveQuest	Pax_Qlanq_I_Presume?
FP	Phinae_Hoshaiah_High_Priest_of_the_Rock	giveQuest	Decoding_the_Signal
FP	Putus_Templar	dislikes	Otho
FP	Putus_Templar	foughtIn	The_Earl_of_Omonporch
FP	Putus_Templar	hasMember	Otho
FP	Putus_Templar	hates	Barathrumites
FP	Putus_Templar	hates	Girsh
FP	Putus_Templar	likes	Otho
FP	Rainbow_Wood	hasInhabitant	Pax_Qlanq
FP	Rainbow_Wood	hostsQuest	Pax_Qlanq_I_Presume?
FP	Reclamation	takesPlaceIn	Grit_Gate
FP	Reseph	isHabitantOf	Omonporch
FP	Reseph	isHabitantOf	Starfarers_Quay
FP	Starfarers_Quay	hasInhabitant	Reseph
FP	Starfarers_Quay	hostsQuest	Reclamation
FP	Temple_of_the_Rock	hasInhabitant	Baetyl
FP	Temple_of_the_Rock	hostsQuest	Decoding_the_Signal
FP	The_Earl_of_Omonporch	involvesFightWith	Barathrumites
FP	The_Earl_of_Omonporch	isGivenBy	Otho
FP	The_Earl_of_Omonporch	requiresCompleting	A_Canticle_for_Barathrum
FP	The_Earl_of_Omonporch	takesPlaceIn	Grit_Gate
FP	The_Golem	requiresCompleting	Reclamation
FP	Tomb_of_the_Eaters	isGivenBy	Herodododicus
FP	We_Are_Starfreight	isGivenBy	Reseph
FP	We_Are_Starfreight	takesPlaceIn	Grit_Gate
FP	Weirdwire_Conduit_Eureka!	isGivenBy	Argyve
FP	Weirdwire_Conduit_Eureka!	takesPlaceIn	Grit_Gate
FN	A_Call_to_Arms	involvesFightWith	Putus_Templar
FN	Barathrumites	likes	Argyve
FN	Barathrumites	likes	Kun
FN	Barathrumites	likes	Otho
FN	Decoding_the_Signal	involvesFinding	Baetyl
FN	Kun	dislikedBy	Girsh
FN	Kun	spawnsIn	Joppa
FN	More_Than_a_Willing_Spirit	rewardsWith	Sparafucile_s_Carbine
FN	More_Than_a_Willing_Spirit	takesPlaceIn	Golgotha
FN	Otho	isSearchTargetIn	A_Canticle_for_Barathrum
FN	Pax_Qlanq_I_Presume?	involvesFinding	Pax_Qlanq
FN	Pax_Qlanq_I_Presume?	isGivenBy	Barathrum_the_Old
FN	Pax_Qlanq_I_Presume?	rewardsWith	quantum_mote
FN	Pax_Qlanq_I_Presume?	takesPlaceIn	Rainbow_Wood
FN	Tomb_of_the_Eaters	involvesFinding	Herodododicus
FN	We_Are_Starfreight	involvesFinding	Reseph
FN	We_Are_Starfreight	isGivenBy	Barathrum_the_Old
