encoder,epoch,train_loss,val_accuracy,val_macro_precision,val_macro_recall,val_macro_f1,val_INVALID_precision,val_INVALID_recall,val_INVALID_f1,val_INVALID_support,val_VALID_precision,val_VALID_recall,val_VALID_f1,val_VALID_support,is_best
spacy-textcat,9,2.2973,0.5882,0.5577,0.5429,0.5296,0.6154,0.8,0.6957,50,0.5,0.2857,0.3636,35,True
spacy-textcat,10,2.157222,0.5882,0.5707,0.5685,0.5689,0.6415,0.68,0.6602,50,0.5,0.4571,0.4776,35,True
spacy-textcat,11,2.123754,0.6118,0.5905,0.5757,0.5717,0.6393,0.78,0.7027,50,0.5417,0.3714,0.4407,35,True
spacy-textcat,12,2.110698,0.6471,0.6325,0.6186,0.6191,0.6724,0.78,0.7222,50,0.5926,0.4571,0.5161,35,True
spacy-textcat,13,2.022017,0.6706,0.6617,0.6385,0.6394,0.6833,0.82,0.7455,50,0.64,0.4571,0.5333,35,True
spacy-textcat,14,1.964356,0.6,0.5872,0.5872,0.5872,0.66,0.66,0.66,50,0.5143,0.5143,0.5143,35,False
spacy-textcat,15,2.08764,0.5882,0.5658,0.56,0.5587,0.6316,0.72,0.6729,50,0.5,0.4,0.4444,35,False
spacy-textcat,16,1.904562,0.6,0.5821,0.5786,0.579,0.6481,0.7,0.6731,50,0.5161,0.4571,0.4848,35,False
spacy-textcat,17,1.675055,0.5882,0.5872,0.59,0.5846,0.6744,0.58,0.6237,50,0.5,0.6,0.5455,35,False
spacy-textcat,18,1.771945,0.6471,0.6324,0.6229,0.6241,0.6786,0.76,0.717,50,0.5862,0.4857,0.5312,35,False
spacy-textcat,19,1.830273,0.6588,0.6512,0.6543,0.6519,0.7234,0.68,0.701,50,0.5789,0.6286,0.6027,35,True
spacy-textcat,20,1.603141,0.6824,0.6778,0.6828,0.6779,0.7556,0.68,0.7158,50,0.6,0.6857,0.64,35,True
google/bigbird-roberta-base,1,0.686569,0.59447,0.297235,0.5,0.372832,0.59447,1.0,0.745665,129,0.0,0.0,0.0,88,True
google/bigbird-roberta-base,2,0.687311,0.548387,0.509677,0.508192,0.500798,0.6,0.72093,0.65493,129,0.419355,0.295455,0.346667,88,True
google/bigbird-roberta-base,3,0.687968,0.59447,0.297235,0.5,0.372832,0.59447,1.0,0.745665,129,0.0,0.0,0.0,88,False
google/bigbird-roberta-base,4,0.680716,0.59447,0.297235,0.5,0.372832,0.59447,1.0,0.745665,129,0.0,0.0,0.0,88,False
google/bigbird-roberta-base,5,0.684046,0.59447,0.297235,0.5,0.372832,0.59447,1.0,0.745665,129,0.0,0.0,0.0,88,False
google/bigbird-roberta-base,6,0.682967,0.59447,0.297235,0.5,0.372832,0.59447,1.0,0.745665,129,0.0,0.0,0.0,88,False
google/bigbird-roberta-base,7,0.688233,0.59447,0.297235,0.5,0.372832,0.59447,1.0,0.745665,129,0.0,0.0,0.0,88,False
google/bigbird-roberta-base,8,0.683536,0.59447,0.297235,0.5,0.372832,0.59447,1.0,0.745665,129,0.0,0.0,0.0,88,False
google/bigbird-roberta-base,9,0.679886,0.612903,0.719984,0.524533,0.429662,0.606635,0.992248,0.752941,129,0.833333,0.056818,0.106383,88,False
google/bigbird-roberta-base,10,0.677454,0.617512,0.694177,0.532021,0.44902,0.610577,0.984496,0.753709,129,0.777778,0.079545,0.14433,88,False
google/bigbird-roberta-base,11,0.670467,0.612903,0.607107,0.537174,0.482277,0.614213,0.937984,0.742331,129,0.6,0.136364,0.222222,88,False
google/bigbird-roberta-base,12,0.669427,0.608295,0.599118,0.529686,0.466059,0.61,0.945736,0.741641,129,0.588235,0.113636,0.190476,88,False
google/bigbird-roberta-base,13,0.666384,0.617512,0.613626,0.544662,0.497643,0.618557,0.930233,0.743034,129,0.608696,0.159091,0.252252,88,False
google/bigbird-roberta-base,14,0.66026,0.608295,0.581908,0.565803,0.559838,0.6375,0.790698,0.705882,129,0.526316,0.340909,0.413793,88,True
google/bigbird-roberta-base,15,0.663331,0.617512,0.595829,0.560914,0.542229,0.630682,0.860465,0.727869,129,0.560976,0.261364,0.356589,88,False
google/bigbird-roberta-base,16,0.654223,0.62212,0.608325,0.559373,0.532524,0.628415,0.891473,0.737179,129,0.588235,0.227273,0.327869,88,False
google/bigbird-roberta-base,17,0.656056,0.617512,0.613626,0.544662,0.497643,0.618557,0.930233,0.743034,129,0.608696,0.159091,0.252252,88,False
google/bigbird-roberta-base,18,0.650084,0.612903,0.589165,0.553427,0.530303,0.625698,0.868217,0.727273,129,0.552632,0.238636,0.333333,88,False
google/bigbird-roberta-base,19,0.654183,0.617512,0.596658,0.559109,0.538049,0.629213,0.868217,0.729642,129,0.564103,0.25,0.346457,88,False
google/bigbird-roberta-base,20,0.649611,0.612903,0.588559,0.555233,0.53462,0.627119,0.860465,0.72549,129,0.55,0.25,0.34375,88,False
distilbert-base-uncased,1,0.689503,0.59447,0.297235,0.5,0.372832,0.59447,1.0,0.745665,129,0.0,0.0,0.0,88,True
distilbert-base-uncased,2,0.684978,0.59447,0.297235,0.5,0.372832,0.59447,1.0,0.745665,129,0.0,0.0,0.0,88,False
distilbert-base-uncased,3,0.685482,0.59447,0.297235,0.5,0.372832,0.59447,1.0,0.745665,129,0.0,0.0,0.0,88,False
distilbert-base-uncased,4,0.674057,0.62212,0.805687,0.534091,0.443242,0.611374,1.0,0.758824,129,1.0,0.068182,0.12766,88,True
distilbert-base-uncased,5,0.476873,0.769585,0.79243,0.795366,0.769541,0.934066,0.658915,0.772727,129,0.650794,0.931818,0.766355,88,True
distilbert-base-uncased,6,0.398424,0.83871,0.84216,0.821001,0.828062,0.830986,0.914729,0.870849,129,0.853333,0.727273,0.785276,88,True
distilbert-base-uncased,7,0.377776,0.824885,0.822308,0.811179,0.815476,0.832117,0.883721,0.857143,129,0.8125,0.738636,0.77381,88,False
distilbert-base-uncased,8,0.33753,0.857143,0.850806,0.856369,0.8531,0.895161,0.860465,0.87747,129,0.806452,0.852273,0.828729,88,True
distilbert-base-uncased,9,0.313824,0.861751,0.855587,0.863857,0.858478,0.909091,0.852713,0.88,129,0.802083,0.875,0.836957,88,True
distilbert-base-uncased,10,0.321455,0.852535,0.85877,0.834434,0.842411,0.839161,0.930233,0.882353,129,0.878378,0.738636,0.802469,88,False
distilbert-base-uncased,11,0.272959,0.875576,0.872594,0.868261,0.870241,0.886364,0.906977,0.896552,129,0.858824,0.829545,0.843931,88,True
distilbert-base-uncased,12,0.261713,0.861751,0.863955,0.847604,0.853668,0.856115,0.922481,0.88806,129,0.871795,0.772727,0.819277,88,False
distilbert-base-uncased,13,0.263878,0.866359,0.861848,0.860509,0.861158,0.884615,0.891473,0.888031,129,0.83908,0.829545,0.834286,88,False
distilbert-base-uncased,14,0.256231,0.875576,0.877821,0.862844,0.8686,0.869565,0.930233,0.898876,129,0.886076,0.795455,0.838323,88,False
distilbert-base-uncased,15,0.212308,0.875576,0.880195,0.861038,0.867996,0.864286,0.937984,0.899628,129,0.896104,0.784091,0.836364,88,False
distilbert-base-uncased,16,0.225583,0.861751,0.860163,0.851216,0.854947,0.866667,0.906977,0.886364,129,0.853659,0.795455,0.823529,88,False
distilbert-base-uncased,17,0.227557,0.880184,0.88397,0.86672,0.873179,0.870504,0.937984,0.902985,129,0.897436,0.795455,0.843373,88,True
distilbert-base-uncased,18,0.198368,0.884793,0.887773,0.872401,0.878333,0.876812,0.937984,0.906367,129,0.898734,0.806818,0.850299,88,True
distilbert-base-uncased,19,0.18195,0.880184,0.886571,0.864914,0.872584,0.865248,0.945736,0.903704,129,0.907895,0.784091,0.841463,88,False
distilbert-base-uncased,20,0.18323,0.884793,0.887773,0.872401,0.878333,0.876812,0.937984,0.906367,129,0.898734,0.806818,0.850299,88,False
xlnet-base-cased,1,0.715651,0.59447,0.297235,0.5,0.372832,0.59447,1.0,0.745665,129,0.0,0.0,0.0,88,True
xlnet-base-cased,2,0.703749,0.557604,0.552131,0.553867,0.550647,0.643478,0.573643,0.606557,129,0.460784,0.534091,0.494737,88,True
xlnet-base-cased,3,0.69351,0.59447,0.297235,0.5,0.372832,0.59447,1.0,0.745665,129,0.0,0.0,0.0,88,False
xlnet-base-cased,4,0.694992,0.59447,0.297235,0.5,0.372832,0.59447,1.0,0.745665,129,0.0,0.0,0.0,88,False
xlnet-base-cased,5,0.70122,0.59447,0.297235,0.5,0.372832,0.59447,1.0,0.745665,129,0.0,0.0,0.0,88,False
xlnet-base-cased,6,0.690341,0.585253,0.558083,0.551841,0.549668,0.630872,0.728682,0.676259,129,0.485294,0.375,0.423077,88,False
xlnet-base-cased,7,0.690775,0.59447,0.297235,0.5,0.372832,0.59447,1.0,0.745665,129,0.0,0.0,0.0,88,False
xlnet-base-cased,8,0.691058,0.59447,0.297235,0.5,0.372832,0.59447,1.0,0.745665,129,0.0,0.0,0.0,88,False
xlnet-base-cased,9,0.683652,0.612903,0.587401,0.562456,0.550237,0.633136,0.829457,0.718121,129,0.541667,0.295455,0.382353,88,False
xlnet-base-cased,10,0.67588,0.617512,0.593963,0.568138,0.55735,0.636905,0.829457,0.720539,129,0.55102,0.306818,0.394161,88,True
xlnet-base-cased,11,0.673904,0.608295,0.701887,0.518851,0.418377,0.603774,0.992248,0.750733,129,0.8,0.045455,0.086022,88,False
xlnet-base-cased,12,0.668804,0.640553,0.628909,0.589323,0.578955,0.649123,0.860465,0.74,129,0.608696,0.318182,0.41791,88,True
xlnet-base-cased,13,0.667018,0.645161,0.710393,0.569723,0.52245,0.631313,0.968992,0.764526,129,0.789474,0.170455,0.280374,88,False
xlnet-base-cased,14,0.65179,0.682028,0.692765,0.631431,0.625984,0.674419,0.899225,0.770764,129,0.711111,0.363636,0.481203,88,True
xlnet-base-cased,15,0.622533,0.691244,0.678775,0.671688,0.673933,0.724638,0.775194,0.749064,129,0.632911,0.568182,0.598802,88,True
xlnet-base-cased,16,0.592355,0.774194,0.791837,0.739649,0.747967,0.753165,0.922481,0.829268,129,0.830508,0.556818,0.666667,88,True
xlnet-base-cased,17,0.517137,0.815668,0.817757,0.796203,0.803014,0.811189,0.899225,0.852941,129,0.824324,0.693182,0.753086,88,True
xlnet-base-cased,18,0.455202,0.843318,0.838274,0.835712,0.836914,0.862595,0.875969,0.869231,129,0.813953,0.795455,0.804598,88,True
xlnet-base-cased,19,0.431738,0.829493,0.82265,0.82589,0.824099,0.865079,0.844961,0.854902,129,0.78022,0.806818,0.793296,88,False
xlnet-base-cased,20,0.40759,0.847926,0.846224,0.835976,0.840103,0.852941,0.899225,0.875472,129,0.839506,0.772727,0.804734,88,True
roberta-base,1,0.682756,0.59447,0.297235,0.5,0.372832,0.59447,1.0,0.745665,129,0.0,0.0,0.0,88,True
roberta-base,2,0.684848,0.59447,0.297235,0.5,0.372832,0.59447,1.0,0.745665,129,0.0,0.0,0.0,88,False
roberta-base,3,0.689759,0.59447,0.297235,0.5,0.372832,0.59447,1.0,0.745665,129,0.0,0.0,0.0,88,False
roberta-base,4,0.686529,0.59447,0.297235,0.5,0.372832,0.59447,1.0,0.745665,129,0.0,0.0,0.0,88,False
roberta-base,5,0.675258,0.59447,0.297235,0.5,0.372832,0.59447,1.0,0.745665,129,0.0,0.0,0.0,88,False
roberta-base,6,0.671964,0.612903,0.597362,0.542592,0.500329,0.617801,0.914729,0.7375,129,0.576923,0.170455,0.263158,88,True
roberta-base,7,0.674545,0.608295,0.594364,0.594697,0.594517,0.671875,0.666667,0.669261,129,0.516854,0.522727,0.519774,88,True
roberta-base,8,0.653943,0.626728,0.624175,0.559637,0.526086,0.62766,0.914729,0.744479,129,0.62069,0.204545,0.307692,88,False
roberta-base,9,0.653502,0.612903,0.719984,0.524533,0.429662,0.606635,0.992248,0.752941,129,0.833333,0.056818,0.106383,88,False
roberta-base,10,0.645992,0.62212,0.61688,0.620772,0.616178,0.704348,0.627907,0.663934,129,0.529412,0.613636,0.568421,88,True
roberta-base,11,0.647369,0.62212,0.600235,0.586461,0.584873,0.653595,0.775194,0.70922,129,0.546875,0.397727,0.460526,88,False
roberta-base,12,0.634751,0.617512,0.617949,0.622313,0.614235,0.712963,0.596899,0.649789,129,0.522936,0.647727,0.57868,88,False
roberta-base,13,0.638048,0.62212,0.615427,0.618966,0.615248,0.700855,0.635659,0.666667,129,0.53,0.602273,0.56383,88,False
roberta-base,14,0.636054,0.626728,0.605892,0.583113,0.577608,0.648148,0.813953,0.721649,129,0.563636,0.352273,0.433566,88,False
roberta-base,15,0.635121,0.612903,0.654348,0.528145,0.446429,0.608696,0.976744,0.75,129,0.7,0.079545,0.142857,88,False
roberta-base,16,0.62685,0.631336,0.622073,0.624912,0.622609,0.702479,0.658915,0.68,129,0.541667,0.590909,0.565217,88,True
roberta-base,17,0.623249,0.617512,0.616228,0.620507,0.613539,0.709091,0.604651,0.65272,129,0.523364,0.636364,0.574359,88,False
roberta-base,18,0.618004,0.631336,0.622073,0.624912,0.622609,0.702479,0.658915,0.68,129,0.541667,0.590909,0.565217,88,False
roberta-base,19,0.616664,0.626728,0.618041,0.621036,0.61843,0.7,0.651163,0.674699,129,0.536082,0.590909,0.562162,88,False
roberta-base,20,0.622458,0.640553,0.629174,0.630858,0.62979,0.704,0.682171,0.692913,129,0.554348,0.579545,0.566667,88,True
t5-base,1,0.692062,0.59447,0.297235,0.5,0.372832,0.59447,1.0,0.745665,129,0.0,0.0,0.0,88,True
t5-base,2,0.702429,0.59447,0.297235,0.5,0.372832,0.59447,1.0,0.745665,129,0.0,0.0,0.0,88,False
t5-base,3,0.698237,0.59447,0.297235,0.5,0.372832,0.59447,1.0,0.745665,129,0.0,0.0,0.0,88,False
t5-base,4,0.693026,0.59447,0.297235,0.5,0.372832,0.59447,1.0,0.745665,129,0.0,0.0,0.0,88,False
t5-base,5,0.683162,0.580645,0.577679,0.58047,0.575452,0.669643,0.581395,0.622407,129,0.485714,0.579545,0.528497,88,True
t5-base,6,0.683644,0.59447,0.297235,0.5,0.372832,0.59447,1.0,0.745665,129,0.0,0.0,0.0,88,False
t5-base,7,0.67105,0.62212,0.652208,0.54312,0.481527,0.616915,0.96124,0.751515,129,0.6875,0.125,0.211538,88,False
t5-base,8,0.669586,0.608295,0.701887,0.518851,0.418377,0.603774,0.992248,0.750733,129,0.8,0.045455,0.086022,88,False
t5-base,9,0.661468,0.640553,0.679021,0.567653,0.525084,0.630769,0.953488,0.759259,129,0.727273,0.181818,0.290909,88,False
t5-base,10,0.653403,0.631336,0.611359,0.592407,0.58987,0.656051,0.79845,0.72028,129,0.566667,0.386364,0.459459,88,True
t5-base,11,0.653556,0.635945,0.625901,0.58003,0.56429,0.642045,0.875969,0.740984,129,0.609756,0.284091,0.387597,88,False
t5-base,12,0.642862,0.612903,0.616071,0.620243,0.610513,0.714286,0.581395,0.641026,129,0.517857,0.659091,0.58,88,True
t5-base,13,0.639274,0.626728,0.618041,0.621036,0.61843,0.7,0.651163,0.674699,129,0.536082,0.590909,0.562162,88,True
t5-base,14,0.622583,0.62212,0.609186,0.609937,0.609507,0.685039,0.674419,0.679688,129,0.533333,0.545455,0.539326,88,False
t5-base,15,0.62073,0.640553,0.702959,0.564042,0.513173,0.628141,0.968992,0.762195,129,0.777778,0.159091,0.264151,88,False
t5-base,16,0.606098,0.635945,0.616915,0.603506,0.603584,0.666667,0.775194,0.716846,129,0.567164,0.431818,0.490323,88,False
t5-base,17,0.605131,0.631336,0.623349,0.626718,0.623656,0.705882,0.651163,0.677419,129,0.540816,0.602273,0.569892,88,True
t5-base,18,0.599475,0.640553,0.639886,0.580294,0.559677,0.640884,0.899225,0.748387,129,0.638889,0.261364,0.370968,88,False
t5-base,19,0.59584,0.631336,0.616767,0.615883,0.616269,0.687023,0.697674,0.692308,129,0.546512,0.534091,0.54023,88,False
t5-base,20,0.596438,0.635945,0.621168,0.619759,0.620335,0.689394,0.705426,0.697318,129,0.552941,0.534091,0.543353,88,False
spacy-textcat,1,4.943756,0.5945,0.5491,0.5072,0.4115,0.5981,0.969,0.7396,129,0.5,0.0455,0.0833,88,True
spacy-textcat,2,4.875269,0.5945,0.2973,0.5,0.3729,0.5945,1.0,0.7457,129,0.0,0.0,0.0,88,False
spacy-textcat,3,4.86873,0.5945,0.2973,0.5,0.3729,0.5945,1.0,0.7457,129,0.0,0.0,0.0,88,False
spacy-textcat,4,4.816264,0.6359,0.6302,0.5765,0.5561,0.6389,0.8915,0.7443,129,0.6216,0.2614,0.368,88,True
spacy-textcat,5,4.631839,0.6866,0.7111,0.6317,0.6233,0.6723,0.9225,0.7778,129,0.75,0.3409,0.4688,88,True
spacy-textcat,6,3.888085,0.7696,0.7775,0.7393,0.7469,0.7582,0.8992,0.8227,129,0.7969,0.5795,0.6711,88,True
spacy-textcat,7,3.065759,0.7788,0.7728,0.7634,0.7669,0.7956,0.845,0.8195,129,0.75,0.6818,0.7143,88,True
spacy-textcat,8,2.633228,0.8065,0.8014,0.7939,0.7969,0.8222,0.8605,0.8409,129,0.7805,0.7273,0.7529,88,True
spacy-textcat,9,2.589969,0.7742,0.7809,0.7902,0.7732,0.8922,0.7054,0.7879,129,0.6696,0.875,0.7586,88,False
spacy-textcat,10,2.497512,0.8065,0.7991,0.8011,0.7999,0.8425,0.8295,0.8359,129,0.7556,0.7727,0.764,88,True
spacy-textcat,11,2.246269,0.8018,0.7982,0.7863,0.7908,0.8116,0.8682,0.839,129,0.7848,0.7045,0.7425,88,False
spacy-textcat,12,2.096545,0.8295,0.8253,0.8187,0.8215,0.8433,0.876,0.8593,129,0.8072,0.7614,0.7836,88,True
spacy-textcat,13,2.188722,0.8387,0.838,0.8246,0.8296,0.8406,0.8992,0.8689,129,0.8354,0.75,0.7904,88,True
spacy-textcat,14,1.962945,0.8387,0.8476,0.8174,0.8263,0.8219,0.9302,0.8727,129,0.8732,0.7045,0.7799,88,False
spacy-textcat,15,2.058377,0.8433,0.8544,0.8213,0.8308,0.8231,0.938,0.8768,129,0.8857,0.7045,0.7848,88,True
spacy-textcat,16,1.661368,0.8341,0.8296,0.8244,0.8266,0.8496,0.876,0.8626,129,0.8095,0.7727,0.7907,88,False
spacy-textcat,17,1.840438,0.8387,0.8319,0.8373,0.8341,0.879,0.845,0.8617,129,0.7849,0.8295,0.8066,88,True
spacy-textcat,18,1.841047,0.8203,0.8135,0.8145,0.8139,0.8516,0.845,0.8482,129,0.7753,0.7841,0.7797,88,False
spacy-textcat,19,1.678136,0.8618,0.8619,0.8494,0.8543,0.8613,0.9147,0.8872,129,0.8625,0.7841,0.8214,88,True
spacy-textcat,20,1.491088,0.8571,0.8561,0.8456,0.8498,0.8603,0.907,0.883,129,0.8519,0.7841,0.8166,88,False
google/bigbird-roberta-base,1,0.686725,0.59447,0.297235,0.5,0.372832,0.59447,1.0,0.745665,129,0.0,0.0,0.0,88,True
google/bigbird-roberta-base,2,0.686124,0.59447,0.297235,0.5,0.372832,0.59447,1.0,0.745665,129,0.0,0.0,0.0,88,False
google/bigbird-roberta-base,3,0.686312,0.59447,0.297235,0.5,0.372832,0.59447,1.0,0.745665,129,0.0,0.0,0.0,88,False
google/bigbird-roberta-base,4,0.681167,0.59447,0.297235,0.5,0.372832,0.59447,1.0,0.745665,129,0.0,0.0,0.0,88,False
google/bigbird-roberta-base,5,0.685343,0.59447,0.297235,0.5,0.372832,0.59447,1.0,0.745665,129,0.0,0.0,0.0,88,False
google/bigbird-roberta-base,6,0.681652,0.59447,0.297235,0.5,0.372832,0.59447,1.0,0.745665,129,0.0,0.0,0.0,88,False
google/bigbird-roberta-base,7,0.683914,0.59447,0.297235,0.5,0.372832,0.59447,1.0,0.745665,129,0.0,0.0,0.0,88,False
google/bigbird-roberta-base,8,0.671388,0.59447,0.297235,0.5,0.372832,0.59447,1.0,0.745665,129,0.0,0.0,0.0,88,False
google/bigbird-roberta-base,9,0.672463,0.617512,0.733333,0.530215,0.440739,0.609524,0.992248,0.755162,129,0.857143,0.068182,0.126316,88,True
google/bigbird-roberta-base,10,0.668627,0.603687,0.592718,0.594433,0.593101,0.674797,0.643411,0.65873,129,0.510638,0.545455,0.527473,88,True
google/bigbird-roberta-base,11,0.661187,0.608295,0.586663,0.58025,0.580347,0.652778,0.728682,0.688645,129,0.520548,0.431818,0.47205,88,False
google/bigbird-roberta-base,12,0.661077,0.62212,0.60201,0.568402,0.553632,0.635838,0.852713,0.728477,129,0.568182,0.284091,0.378788,88,False
google/bigbird-roberta-base,13,0.652702,0.612903,0.589154,0.576903,0.574748,0.647059,0.767442,0.702128,129,0.53125,0.386364,0.447368,88,False
google/bigbird-roberta-base,14,0.647123,0.603687,0.581082,0.574568,0.574316,0.648276,0.728682,0.686131,129,0.513889,0.420455,0.4625,88,False
google/bigbird-roberta-base,15,0.648007,0.617512,0.606823,0.548273,0.509036,0.621053,0.914729,0.739812,129,0.592593,0.181818,0.278261,88,False
google/bigbird-roberta-base,16,0.636244,0.617512,0.640264,0.537438,0.47171,0.613861,0.96124,0.749245,129,0.666667,0.113636,0.194175,88,False
google/bigbird-roberta-base,17,0.634251,0.617512,0.62387,0.54105,0.485238,0.616162,0.945736,0.746177,129,0.631579,0.136364,0.224299,88,False
google/bigbird-roberta-base,18,0.629676,0.62212,0.615741,0.553955,0.517621,0.624339,0.914729,0.742138,129,0.607143,0.193182,0.293103,88,False
google/bigbird-roberta-base,19,0.621713,0.617512,0.602829,0.602449,0.602625,0.676923,0.682171,0.679537,129,0.528736,0.522727,0.525714,88,True
google/bigbird-roberta-base,20,0.613428,0.626728,0.609663,0.572278,0.557176,0.637931,0.860465,0.732673,129,0.581395,0.284091,0.381679,88,False
google/bigbird-roberta-base,21,0.618046,0.626728,0.60984,0.606589,0.607525,0.676471,0.713178,0.69434,129,0.54321,0.5,0.52071,88,True
google/bigbird-roberta-base,22,0.595863,0.626728,0.610865,0.570472,0.55326,0.636364,0.868217,0.734426,129,0.585366,0.272727,0.372093,88,False
google/bigbird-roberta-base,23,0.595623,0.62212,0.682317,0.539508,0.467246,0.614634,0.976744,0.754491,129,0.75,0.102273,0.18,88,False
google/bigbird-roberta-base,24,0.600204,0.631336,0.726423,0.549066,0.48024,0.619512,0.984496,0.760479,129,0.833333,0.113636,0.2,88,False
google/bigbird-roberta-base,25,0.597952,0.672811,0.668603,0.629096,0.627067,0.676829,0.860465,0.757679,129,0.660377,0.397727,0.496454,88,True
google/bigbird-roberta-base,26,0.582098,0.746544,0.746984,0.756122,0.744372,0.842593,0.705426,0.767932,129,0.651376,0.806818,0.720812,88,True
google/bigbird-roberta-base,27,0.501753,0.889401,0.883609,0.89253,0.886783,0.933884,0.875969,0.904,129,0.833333,0.909091,0.869565,88,True
google/bigbird-roberta-base,28,0.342155,0.917051,0.91178,0.919397,0.914835,0.95122,0.906977,0.928571,129,0.87234,0.931818,0.901099,88,True
google/bigbird-roberta-base,29,0.254275,0.917051,0.912217,0.917592,0.914567,0.944,0.914729,0.929134,129,0.880435,0.920455,0.9,88,False
google/bigbird-roberta-base,30,0.234418,0.921659,0.917277,0.921468,0.919181,0.944444,0.922481,0.933333,129,0.89011,0.920455,0.905028,88,True
google/bigbird-roberta-base,31,0.209518,0.926267,0.921652,0.927149,0.924059,0.952,0.922481,0.937008,129,0.891304,0.931818,0.911111,88,True
google/bigbird-roberta-base,32,0.207142,0.921659,0.917277,0.921468,0.919181,0.944444,0.922481,0.933333,129,0.89011,0.920455,0.905028,88,False
google/bigbird-roberta-base,33,0.203804,0.921659,0.918188,0.919662,0.918903,0.9375,0.930233,0.933852,129,0.898876,0.909091,0.903955,88,False
google/bigbird-roberta-base,34,0.16846,0.921659,0.918188,0.919662,0.918903,0.9375,0.930233,0.933852,129,0.898876,0.909091,0.903955,88,False
